sampleid,beta_muricholic_acid,chenodeoxycholic_acid,chenodeoxycholic_acid_3_sulfate,cholic_acid,cholic_acid_3_sulfate,deoxycholic_acid,deoxycholic_acid_3_sulfate,glycochenodeoxycholic_acid,glycochenodeoxycholic_acid_3_sulfate,glycocholic_acid,glycocholic_acid_3_sulfate,glycodeoxycholic_acid,glycodeoxycholic_acid_3_sulfate,glycolithocholic_acid,glycolithocholic_acid_3_sulfate,glycoursodeoxycholic_acid,glycoursodeoxycholic_acid_3_sulfate,lithocholic_acid,lithocholic_acid_3_sulfate,omega_muricholic_acid,taurochenodeoxycholic_acid,taurocholic_acid,taurodeoxycholic_acid,taurolithocholic_acid,tauroursodeoxycholic_acid,ursodeoxycholic_acid,ursodeoxycholic_acid_3_sulfate
FMT.0203F,14.8617,858.5433,7117.6958,12668.4828,2419.6642,6.3991,40.7964,173.654287,3757.582,197.7930382,295.2002,0,0,0,0,3132.3471,76828.7359,0,111.5509,335.6075,514.261264,168.1108521,0,0,5620.4043,7826.3534,133387.3393
640J,122.6202,25198.2193,13886.8433,106931.6376,1633.2721,111.9238,156.2543,1389.0831,467.1082,1993.7705,62.7568,0,0,0,13.5098,9020.1037,2837.9222,38.7502,585.7833,911.7447,312.5535154,632.5383,0,0,1261.9034,133978.2591,128669.1502
2276G,89.3794,28230.0711,231.19,57576.6176,221.5028,9909.2598,18.0878,118.7552884,0,30.6334736,0,13.838,0,0,11.2154,18929.3139,152.7248757,1160.667,65.408,1365.5367,193.3725706,2756.986,345.599,7.6971,2296.4216,772433.5255,110592.1911
1976E,48.4655,4030.172,5641.9644,29555.2687,8597.6733,46.2132,385.7801,48.2685816,69.8979,23.35674575,0,0,0,0,0,410.0245602,70.4073411,34.4642,413.9207,960.6045,27.6345673,406.3976797,0,0,135.1701082,26134.4595,105514.9556
FMT.0112R,11.3884,1386.2177,7175.5083,13246.1251,601.4272,9.0519,803.6201,0,74.0953,99.88674265,22.8869,0,6.0046,0,5.3769,173.9237033,796.7184,15.1677,255.4757,165.7244,25.9016902,27.67832445,0,0,5428.3724,78747.2779,103396.3064
2149H,30.2489,196.6940324,7717.6217,11.5575,27.6634,2573.8475,1221.2672,0,0,14.6040921,0,0,0,0,6.3498,42.4271949,33.945742,25907.1815,986.3232,242.8596,0,0,0,8.9976,6.58415,3653.4864,98902.6379
1802J,26.5002,8901.5658,14427.4174,69431.5574,0,37.9888,162.721,2898.0522,227.6345,14723.8665,351.6389,11.0329,19.1266,0,31.759,4866.9611,1157.3491,13.8815,491.1268,513.2529,101.9504022,7090.1112,0,0,285.2559854,49660.4354,96770.5225
1709I,14.8204,1326.6192,9669.4761,16640.1017,551.5005,133.3819,5621.1625,138.6454717,0,425.2670198,223.0947,40.5447,49.2588,0,8.1969,516.3612,139.8267038,5.947,432.6536,63.9977,0,6.26148395,0,0,0,5657.1132,90567.3034
1092L,0,849.9615,6108.6694,12143.0312,350.6831,0,138.8689,29.8507566,24.6706,64.5363218,0,0,0,0,0,310.0543856,391.820987,0,140.5608,58.6001,9.0128116,15.04944055,0,0,463.6814678,13558.4987,81464.7198
FMT.0107S,66.5986,801.2941,5588.1854,56.6917,516.4301,27950.4681,4079.1445,82.4367611,0,21.9338917,0,31.8912,0,28.1947,210.0694,122.9940574,19.6406974,118487.7016,8126.7291,227.2192,18.147341,16.72011125,118.396,447.3133,44.9530172,4683.6274,80060.0404
1700I,19.148,17300.3963,4520.1859,44822.4535,318.6818,44.0889,50.3416,225.1533729,117.1041,119.5779109,28.0236,0,0,0,15.6335,548.7195,1007.9197,12.3325,463.7524,443.847,1631.5543,5215.789,7.6467,0,5092.3055,56168.0817,75897.1757
922C,14.5651,2264.2094,2545.3359,33215.9465,0,0,22.221800000000002,1145.8018,71.6846,3309.2238,63.6781,0,0,0,9.0661,14061.3784,3250.9448,8.671,240.0168,86.7425,110.0926824,70.03300145,0,0,714.8562,65807.0871,74155.9388
1805H,25.8567,9761.7685,4792.3001,20211.3358,98.5492,0,0,76.8057113,1372.9307,188.1228309,70.1602,0,0,0,8.2207,770.1214,6727.0288,0,87.7767,179.8883,99.7249595,318.4893799,0,0,1333.0568,53723.4624,71549.7355
FMT.0019E,41.3986,9351.46,9487.422,27971.0255,906.3393,529.6099,1037.6097,735.7356,800.8934,614.9973,74.3576,0,35.3459,0,147.4432,879.3966,1604.3752,130.6097,1214.1606,305.109,44.3230742,621.9981,0,0,29.5350733,263798.2698,69047.8481
FMT.0012E,41.309,1058.1778,7965.94,1246.2894,331.0226,22893.6546,4850.473,0,0,6.69450175,0,0,0,0,17.1921,49.6405761,8.8063896,17479.65,667.4667,92.763,5.6790963,334.7460339,69.8983,41.7642,83.2225883,39522.4952,67264.4343
1928K,24.6173,15038.4835,4720.2081,84870.5442,455.5556,108.2418,106.97,771.4092,15.1775,538.1762,10.2318,0,0,0,17.0695,1462.9677,113.4580728,204.3253,468.0541,464.6196,111.8753855,332.3081619,0,0,258.0798173,46019.2476,66333.2514
1937H,45.1666,11882.3362,4936.181,80349.875,352.5479,116.0409,212.9,149.3388431,37.1337,892.6847,23.9311,0,0,0,14.669,501.6166,413.6814327,20.2615,237.8961,646.699,28.6271724,602.8218,0,0,107.9213365,48359.7325,61109.9268
1075K,30.6197,1817.9806,5165.6334,3342.2442,401.8433,11616.1972,5713.8894,96.4004976,313.151,614.1979,43.7482,385.0861,293.9538,21.9696,814.6772,809.7204,1730.5204,29175.7195,9384.9909,248.4439,6.37061,223.2281863,179.2763,39.58,63.9182164,31913.7456,60873.521
599C,17.3098,825.1739,8587.7068,18851.0794,206.0898,12.7477,287.5454,200.4389651,477.135,1889.1158,39.5311,0,30.4509,0,43.3383,1290.2488,11810.6428,92.7839,1274.3986,147.5439,72.8118015,3399.3259,0,0,90.1733153,6036.274,60754.8979
1791C,6.6926,6836.2108,2136.2433,1079.2245,13.384,53.7166,12.7116,3762.7731,42.0297,9542.2995,24.2012,41.7764,6.3316,0,0,51600.3888,4915.1485,9.3356,248.7073,43.0631,64.6794865,2299.6081,0,0,661.2081,98373.0204,60600.8029
1711N,26.5811,28413.0197,4513.059,27745.5007,1010.5483,44.2339,21.5698,23.5459881,0,26.2771152,0,0,0,0,27.7944,159.5916103,49.9712072,6.3088,104.2049,194.9138,41.0470147,83.9769834,0,0,1000.9827,55254.0539,54647.333
640H,20.5754,21725.1495,5713.7406,27975.5567,229.247,190.0205,222.5475,1217.6609,86.6532,511.5822,8.2831,0,0,0,0,6274.7757,579.9309,14.8321,181.8236,222.0095,201.7725224,95.74409875,0,0,8752.3138,167363.8328,54435.8982
FMT.0240N,0,39634.046,7648.015,110062.1223,809.2813,191.788,142.43,47.0681309,0,28.30125935,0,0,0,0,13.1746,77.2039634,0,229.304,1099.8742,0,292.9395105,1314.0279,0,0,589.6998,299394.5347,54332.717
247E,14.8591,4105.2739,4505.1357,19544.556,41.6134,193.0888,598.6131,100.9108183,657.9025,140.8765075,119.2443,0,47.6352,0,21.1708,1587.4851,14816.7,5.1902,245.4336,86.2126,561.9357,2877.5284,64.0674,0,3133.6858,35629.4859,52391.8453
1796G,48.2329,4419.2667,4629.4191,1122.6627,358.9022,24342.3799,829.1695,703.2799,0,408.68496,0,50.2794,5.7387,50.4711,77.4372,2514.3546,197.0479499,63782.9239,2249.4862,179.7164,69.1766389,164.5819605,69.5777,141.2468,160.2254682,20487.2947,52018.4609
1362E,53.2125,14439.6195,5109.3571,26219.4212,365.4319,566.1286,934.7859,59.0868739,15.7681,51.6258326,7.2254,0,0,0,5.6004,5529.7211,159.2524376,39.2232,480.6372,662.522,0,83.6375528,0,0,0,164840.5983,51911.8453
FMT.0146E,13.7842,19303.6019,1953.3245,35742.6469,243.1596,53.8139,20.9555,415.7250105,69.151,430.0444147,34.2687,0,0,0,15.87,246.1849275,1702.3391,15.9388,126.4825,224.6667,139.7423555,135.6030741,0,0,669.2698,35681.8258,51266.1458
951B,7.8577,5536.0455,3722.2942,42711.4683,200.291,39.1386,110.2678,6802.6802,3487.201,12103.5629,350.4472,0,103.4872,0,112.311,97301.0894,74068.7826,0,183.858,258.0352,129.8956702,19185.7524,11.1399,0,328.8412789,28875.3192,50360.8489
2055B,26.0878,6072.2875,2851.1634,19806.2481,265.2397,11.3305,54.3038,107.4600901,0,69.22282165,0,0,5.4671,0,0,275.3377642,52.7490067,37.3943,98.5954,568.5778,64.674148,79.924979,0,0,683.8709,29282.34,49770.8406
FMT.0022E,17.2358,17047.0207,2837.778,39370.8309,129.124,44.8687,106.3199,231.3396267,2347.5137,516.9006,239.198,0,0,0,56.7565,2639.234,19327.7118,27.4495,180.7874,183.4809,6173.234,5059.0504,10.5556,0,39423.2767,205742.1118,48895.0214
573E,35.0863,177.7625607,4251.9258,79.624,346.0415,4502.0054,7347.2275,586.6432,5.8745,196.8575424,0,158.7402,14.3728,11.3868,123.4003,1098.2457,54.0106722,45098.0319,8624.3633,92.2734,135.9997111,83.18686525,119.0645,167.2358,206.9562059,1157.2536,40139.1581
896F,10.0723,981.9207,5949.9403,2590.9009,215.1118,0,34.5204,1653.568,2703.3207,11151.423,811.6238,0,0,0,0,3123.6342,32167.6949,0,244.5857,36.2542,0,610.8085,0,0,20.7048384,9832.3587,39593.7417
1570M,24.5202,26876.807,3502.0973,101523.8332,441.754,167.5688,74.0679,29.9771011,0,26.89949225,0,0,0,0,11.6866,145.0804996,5.8125588,43.1074,332.2129,468.9481,0,0,0,0,0,191210.0469,38761.2427
1791F,29.6601,20769.3249,1737.1344,25376.9553,115.7553,58.6508,10.8501,319.6576353,55.3395,1815.8478,6.8972,0,14.1745,0,0,500.9160817,930.7787,16.2473,104.4097,400.7735,60.2442607,1582.448,0,0,178.4254824,132940.9629,37560.2965
2164C,33.9409,708.6971,2875.2202,1097.7231,571.2665,115727.7082,631.0829,37.1723314,0,51.49650935,0,10.2084,0,0,18.8682,111.6454741,6.028946,72250.8438,232.7581,227.7296,6.2396388,30.36096035,514.0337,127.2471,35.0137979,14582.0085,35595.4122
1276F,34.2398,11517.6306,1196.2337,15767.1473,79.6435,102.4992,20.4849,89.3565248,9.9166,98.45060415,0,0,0,0,0,1989.6079,914.5998,11.7167,111.2357,133.9927,0,162.9797989,0,0,0,187833.0072,35419.9555
1398M,57.8536,391.5892076,182.3663,55.4053,125.4655,22884.9538,209.5465,29.5069572,0,18.1007855,0,48.6646,0,24.6503,94.0455,166.5562174,7.8419006,109424.5591,5620.9682,256.9176,7.7401132,217.3234635,134.0271,473.3265,45.8669684,23701.3073,34033.3835
FMT.0212C,14.2614,6091.0574,1414.2238,6889.3578,42.0522,69.2375,70.6527,3627.5684,1060.0489,998.9387,18.1643,30.4022,198.5497,0,27.9033,43610.5838,25566.8832,21.7227,101.4143,166.1496,254.1905421,417.575083,18.5585,0,1045.9945,115595.0632,33866.6858
FMT.0241G,17.1154,18095.7077,2879.3084,29794.9176,63.5384,10.5679,0,3427.9467,2007.3569,6452.9754,122.794,0,0,0,47.7738,19210.509,23711.1308,7.3992000000000004,89.7348,327.8795,41.4783655,9.3350776,0,0,26.3889173,123555.3549,33863.9849
FMT.0212F,5.662,985.6837,2013.4254,4540.8394,24.4076,0,38.3843,50.8371119,696.6858,50.8204253,27.6391,0,7.3845,0,8.2628,1237.0449,11560.5528,0,87.8861,53.5345,500.179,118.7722302,0,0,4193.5472,16599.2243,33800.0878
FMT.0197K,38.6722,11057.2975,3449.9075,32926.8088,601.7059,87.7103,69.7087,1199.601,70.8166,1476.3179,10.6124,0,0,0,0,6324.7065,915.8205,24.6034,229.5496,330.0561,170.2095309,441.805369,0,0,536.9815,259438.8234,32966.8354
1398K,51.5213,27866.2639,1568.1524,62920.8294,50.7011,22845.3021,3610.372,5002.53,554.5,21847.5543,51.3836,11708.0966,11008.7097,39.1558,2776.2377,93987.0402,18899.9201,212.5396,4275.7533,1543.1495,478.5652058,7224.3059,2510.8082,32.9968,2818.6704,253953.0249,32529.2083
FMT.0057I,27.7579,24901.4405,4673.0471,65575.2112,145.049,123.9522,101.1251,502.7148003,359.0717,1833.6124,60.791,0,0,0,8.1421,1600.2442,2254.4625,14.3993,310.9841,302.3714,94.2127803,526.1292,0,0,163.6680889,68814.7336,32237.6677
979D,9.7794,566.5232,2158.1607,6656.4136,15.1776,7.4292,45.014,142.1710171,44.2441,796.8586,90.2186,0,27.5508,0,0,3117.7424,3733.6807,5.3547,75.0577,97.4131,0,13.4515371,0,0,0,35012.3203,31830.0714
1855F,12.9561,6842.5052,2306.6492,19513.0554,92.657,17.3486,33.2378,311.9637891,59.8795,67.7079248,20.3435,0,0,0,6.2983,4085.033,7164.2148,0,121.6575,113.2667,10.1979586,8.52019455,0,0,6.1737973,33206.1458,30932.1821
2045H,24.1326,32543.0545,2779.3933,70443.9426,110.3973,23.6943,0,3347.588,111.0832,2589.8617,13.2142,0,0,0,16.3679,14306.5346,1247.1387,0,61.8181,506.0643,134.5807378,299.7677201,0,0,375.5246819,111113.174,30813.1875
964B,0,5496.8882,3136.017,48386.9056,315.4791,46.3641,44.2391,2405.5652,2140.147,4746.5642,284.7301,0,49.0974,0,63.8328,18827.9182,15426.6928,0,163.8822,140.3295,1577.5385,2611.9816,0,0,2749.5792,25731.7136,30502.8895
566D,17.6832,14684.4236,1914.7385,33065.3123,113.6115,32.0834,17.5269,315.605002,828.4987,430.0664439,101.4609,0,0,0,0,2053.0306,6661.6309,0,50.6043,177.384,1683.2104,1737.677,0,0,11154.5439,40587.9082,30254.9776
410D,12.894,4819.1562,5751.217,13293.2511,629.3499,9932.936,3472.5576,29.3336339,16.2334,130.98046,0,11.5795,36.5122,0,15.939,56.4870244,115.1770698,14104.4267,2293.6947,90.7316,100.3395988,264.9019008,43.742,14.7565,105.9492946,41973.2266,30090.9057
80R,9.2366,10246.9196,225.7691,3558.2647,26.2782,3473.3368,9.9924,872.3772,22.2075,316.6781154,0,24.2922,5.8235,0,15.3447,3236.0465,315.8982636,4985.4061,71.9165,88.4615,199.4093464,136.6617499,15.6206,10.7367,593.8366,34402.5372,29515.3596
1160W,0,1843.9633,5750.5849,15399.9135,364.365,0,17.3329,57.0130446,0,27.7712215,0,0,0,0,11.0468,82.5157709,5.185463,20.8372,201.5955,68.0232,11.2717089,47.30040385,0,0,25.5091325,8479.8558,29093.789
2285E,0,871.9982,1812.3101,3640.3735,23.3007,0,65.4298,23636.0535,1131.3161,15359.3825,23.9363,146.3056,84.5901,0,37.7713,158309.4327,21685.4349,0,204.5455,25.5526,51.1424741,1169.525,0,0,155.8553721,6778.6365,27373.6316
1195Q,0,550.6514,1840.6141,9073.1435,46.9633,5.1294,46.9009,191.6916549,2657.8899,226.7922732,164.1888,0,44.6312,0,70.3758,1916.3438,32275.5782,6.7416,120.3904,176.3419,446.9548796,1338.1092,0,0,6941.6508,24479.3399,27282.7294
1532G,13.4895,201.2811952,756.5216,103.9372,65.1913,3895.9748,800.6443,39.4536504,0,18.00131565,0,7.5586,0,8.6805,12.2133,92.4809709,9.9630646,28299.9274,2068.0911,104.221,61.3916823,493.0131236,122.5798,85.1286,410.6626889,10760.3524,26988.151
1855J,8.1198,4001.8415,1468.0379,10545.9148,102.7845,32.2521,8.5206,386.7978144,69.3406,293.8850332,18.1982,0,0,0,8.287,3510.8229,3482.6271,5.5714,66.5784,107.0794,8.6181185,0,0,0,0,25857.6065,25918.5338
1462H,9.7612,14080.1488,1821.6469,36056.0527,28.3329,104.6678,296.738,2005.0342,5088.4824,1651.4753,143.3129,0,191.3982,0,94.1547,34756.0389,39171.2181,0,103.5624,351.7675,15562.25,4900.633,96.8776,0,24132.3688,65297.3898,24014.771
2104L,9.6967,2933.7661,1221.2374,29383.5337,256.5447,25.682,0,31.2562057,21.4399,219.0563992,10.4447,0,0,0,0,363.7298,8408.6141,0,32.0331,182.0473,0,22.0551226,0,0,23.9695091,32849.0735,23559.0868
2280E,9.2759,7273.3916,2727.4789,17842.9076,120.6906,3293.8792,652.5266,107.9476731,13.5189,79.60860825,0,6.5093,0,0,11.1641,311.6050419,94.7448508,1533.926,1181.947,106.3197,21.9195251,105.1290104,0,0,38.5001943,20296.3466,22929.8079
1644C,11.886,15.6353621,1984.9381,74.6529,365.2247,4878.9304,4530.4427,45.8666125,29.5115,18.2911248,0,16.5937,0,22.7418,180.957,63.6947112,5.4506085,46590.8307,9889.4498,114.0825,104.7783836,1083.9978,576.0007,523.2407,449.0137611,944.2054,22897.7481
2180C,23.0191,10700.0089,2206.437,41744.6501,50.9322,1548.2964,1535.3095,4646.1553,367.5282,3307.0498,154.7653,270.5355,292.6758,0,65.5743,11143.4451,3628.1465,8.7915,387.8614,293.9145,189.0843315,3967.4809,154.365,0,302.244516,58036.2433,22701.8894
832D,0,3118.7618,3417.6909,24232.2865,85.1841,0,10.0448,566.6608,43.9887,308.7868627,6.5393,0,0,0,0,1248.1185,295.8287067,0,60.0822,96.2434,79.1421948,47.19361705,0,0,3437.9904,10725.8857,22440.8882
1528I,33.1112,22477.3289,5410.9021,113231.8632,297.5779,46.4358,0,2029.3275,42.2088,2500.5855,51.4112,0,0,0,9.1434,3450.5429,218.672078,6.4381,149.8031,292.9703,250.2585589,736.2587,0,0,425.8646015,78252.6304,22281.9587
2104H,9.3575,10597.3833,2448.1123,7623.8168,18.9286,7.1629,0,9454.7656,229.7798,35765.9044,81.2833,0,13.1813,0,11.2833,29654.3867,3915.7877,10.5752,116.7283,59.0195,8.3604469,5.51421235,0,0,9.9029175,45106.9305,21488.5095
1839F,5.3517,1597.3456,1588.3574,11921.5571,24.421,86.4032,631.2678,497.0787679,675.395,209.2873466,48.2355,16.7459,26.3702,0,9.0739,3166.5117,7045.8902,0,90.9684,106.4472,182.0816431,78.5328364,5.7486,0,8267.9653,17017.9973,20849.6402
1908E,7.3888,12748.3243,1227.1579,28186.857,61.8164,14.9649,5.2693,19722.4313,1394.4262,20312.4888,30.8588,16.181,0,0,68.4753,106979.6157,17709.9646,5.3283,113.2589,332.0892,1270.7408,2492.1869,0,0,2875.0519,48214.3532,20771.4402
FMT.0012H,10.2903,8579.9385,3804.3195,28723.5104,145.7296,1779.7898,783.317,397.6936929,7.9765,2662.3791,0,341.0365,0,0,7.0059,422.2547078,49.6768779,552.2193,589.9801,101.704,19.7175718,683.8265003,0,0,37.4734228,20901.176,20614.5805
1230M,0,34.2348377,1547.3858,2329.7299,763.7213,0,21.9114,0,0,63.26318725,19.5707,0,0,0,0,0,287.7739779,0,49.9055,7.2711,375.6723804,1638.836,0,0,827.8994,135.6671479,18678.8448
FMT.0200H,13.1106,5485.7829,1119.8949,704.6102,0,84.257,48.4734,108724.7838,3013.0651,66182.7044,95.0709,1900.1063,500.4656,9.5015,455.2412,418742.333,50518.4988,13.0321,461.8006,116.7153,385.7336734,13582.9858,279.7105,0,842.8436,68223.9264,18563.0759
FMT.0197U,32.023,5470.6981,1901.583,8820.8764,69.635,9067.1297,468.9882,18981.0043,4291.5101,47854.0027,271.1477,2890.7383,2424.1897,191.2505,2492.2453,100913.9522,68687.8507,19677.7277,1018.7511,760.3186,2199.1942,8894.3903,468.5321,125.6594,3844.8643,114457.5107,18521.5654
FMT.0118I,8.687,6236.1707,4585.7252,27681.0986,377.8967,4769.425,440.024,46.0495451,6.6976,111.6306285,0,0,0,0,8.2335,154.9880438,41.7808805,1444.8503,511.1416,0,28.4695087,1279.3324,18.5789,0,65.7329505,23136.578,18279.4438
266D,0,560.5318,5530.3689,2595.0004,82.6665,5.3591,71.5866,6004.0312,3453.3099,42123.7685,959.492,28.5648,197.5964,0,100.3602,9712.6801,20746.989,0,192.6733,19.0876,787.4426,13427.1934,9.5645,0,1043.4973,6986.7183000000005,18149.9465
FMT.0169M,0,10196.0227,3427.6765,30922.8641,120.503,1477.1131,90.366,74.5450345,8.4532,18.59631145,0,0,0,0,10.983,108.4402387,43.302353,402.0745,277.1417,225.4553,89.3750316,266.540256,5.3985,0,87.4574424,44777.6975,17456.4179
1312K,9.017,142.3420776,84.4059,270.5541,7.8094,2877.7958,164.4634,323.7711275,25.6621,331.4890333,0,72.044,50.1357,5.0434,132.1837,1652.2338,360.4629939,11388.0625,824.7784,18.4934,96.5353837,62.4273798,28.4774,17.4847,234.086107,2882.5371,17293.93
780B,18.5525,6776.1006,4348.8434,36979.0244,51.8205,10.2299,0,156.8326735,712.8686,318.0644434,95.8556,0,0,0,0,451.8848064,3419.3169,11.8737,141.9926,273.9612,8.0351543,239.7307024,0,0,21.5985033,42375.9898,16912.4844
FMT.0208J,7.3372,13115.4353,1559.6896,79497.5912,43.1223,86.9412,28.0623,3022.0742,19.486,3652.2678,0,0,0,0,15.1163,12929.3692,268.8440128,45.0653,271.6534,364.9239,199.2744603,977.3638,0,0,503.4266,117681.8325,16616.9479
1099D,29.9256,10183.6305,2060.4559,6665.6677,60.4007,33882.871400000004,1198.847,5990.7842,140.175,4107.1127,6.2109,3082.6013,329.163,249.5361,1425.8419,25159.5452,744.0708,77013.3028,3103.6191,297.54,295.3304467,933.7953,512.2049,396.339,826.3273,98927.6937,16326.0443
1276I,5.7243,8325.0815,741.2181,20888.1035,36.8561,32.848,12.2766,385.6251239,828.9802,289.7391653,59.0108,0,0,0,56.0588,19620.2844,16456.376,7.3182,104.5337,115.2636,36.7313713,37.5740769,0,0,711.4407,72805.402,15903.0203
1353H,11.6492,65333.5765,745.3358,68301.4075,46.24,360.039,8.668,3533.0018,3973.9783,1575.8802,144.9172,0,73.0384,0,65.3487,62847.4684,38662.9265,0,19.1189,488.8075,5517.9215,3430.5399,0,0,6832.7055,118363.4147,15357.7681
1700G,0,7156.3745,1005.6396,30970.0108,24.4228,10.5196,15.1788,36.7377775,277.6283,538.5741,26.1346,0,0,0,8.3209,615.6597,1128.8071,17.9402,194.9734,55.0379,32.8926339,1870.9991,0,0,83.5870299,87430.2485,14740.3734
1176P,0,266.9425606,1512.6905,1960.6996,42.7127,0,17.0859,27.8477514,767.5399,13.28735815,87.2162,0,0,0,7.7792,111.6821318,6782.2401,0,84.0667,47.9654,24.6133322,29.1493127,0,0,543.0608,3190.0257,14734.8746
